Domain,Monolingual English,A,B,C,D,answer,Source
Geography,What is the largest river in Sindh?,Lyari River, Indus River,Malir River,Hub River,B,Asaan sindhi 9th and 10th sindh board
History,From which river does Sindh derive its name?,Malir River,Lyari River,Sindhu River,Hub River,C,Asaan sindhi 9th and 10th sindh board
Culture,How many stages are involved in making Ajrak?,12,10,14,15,C,Asaan sindhi 9th and 10th sindh board
History,What name did the Arabs use to refer to the Sindhi Ajrak?,Khaddar ,Azraq,Muslin,Chiffon,B,Asaan sindhi 9th and 10th sindh board
Culture,"In the context of Sindhi Ajrak, what does the word “Azraq” mean?",White color,Red color,Green color,Blue color,D,Asaan sindhi 9th and 10th sindh board
Culture,Sassui and Punhu is a tale of what?,Two enemies,Two lovers,Two friends ,Two family members,B,Asaan sindhi 9th and 10th sindh board
Culture,Rano and Mumal is a tale of what?, Two Rajput lovers,Two Rajput enemies,Two Rajput friends ,Two Rajput kings,A,Asaan sindhi 9th and 10th sindh board
History,Where was Makhdum Abdallah Nariyawaro born?,Sehwan,Kutch,Hala,Thatta,B,Asaan sindhi 9th and 10th sindh board
History,Makhdum Abdallah Nariyawaro belonged to which tribe?, Mandhro,Talpur,Samma,Kalhora,A,Asaan sindhi 9th and 10th sindh board
Culture,Which is the most celebrated composition of Shah Abdul Latif Bhittai?,Shah Jo Risalo,Diwan-e-Ghalib,Kalila wa Dimna,None of these,A,Asaan sindhi 9th and 10th sindh board
History,Which ancient civilization thrived in Sindh and is known for cities like Mohenjo-daro?,Greek ,Harappan,Egyptian,Mesopotamian,B,https://web.facebook.com/groups/229328939075956/posts/779288397413338/?_rdc=1&_rdr#
Culture,Which Sindhi festival is celebrated to mark the arrival of spring?,Navratri ,Chaliho Sahib,Thadri,Cheti Chand,D,https://web.facebook.com/groups/229328939075956/posts/779288397413338/?_rdc=1&_rdr#
Culture,The Sindhi Ajrak is not only a traditional shawl but also a symbol of?,Peace ,Brotherhood,Pride and Identity,Love,C,https://web.facebook.com/groups/229328939075956/posts/779288397413338/?_rdc=1&_rdr#
Culture,What is Sindhi Saag made from?,Mustard Greens,Kale, Spinach,Fenugreek,A,https://web.facebook.com/groups/229328939075956/posts/779288397413338/?_rdc=1&_rdr#
History,During which dynasty did Lal Shahbaz Qalandar come into Sindh?,Soomra dynasty,Gupta dynasty,Mamlook dynasty, Ghaznavi dynasty,D,https://web.facebook.com/groups/2426748277645913/posts/3940538849600174/?_rdc=1&_rdr#
Geography,Which city in Sindh is famous for its pickles?,Shikarpur,Larkana,Karachi,Mirpurkhas,A,https://cssmcqs.com/200-important-sindhi-mcqs-gk-questions/
Geography,Which city in Sindh is famous for its mangoes?,Karachi,Larkana, Mirpurkhas,Shikarpur,C,https://cssmcqs.com/200-important-sindhi-mcqs-gk-questions/
History,Shahdadkot was named after which person?,Sher Shah Suri ,Shahdad khan,Jam Nizamuddin,Mir Fateh Ali,B,https://cssmcqs.com/200-important-sindhi-mcqs-gk-questions/
Geography,What is the highest and coldest place in Sindh?,Gorakh Hill,Manchar Lake,Keenjhar Lake,Karoonjhar Mountains,A,https://cssmcqs.com/200-important-sindhi-mcqs-gk-questions/
Geography,Which city in Sindh is called the “city of seven sisters”?,Dadu, Rohri,Nawabshah,Larkana,B,https://cssmcqs.com/200-important-sindhi-mcqs-gk-questions/
Culture,The famous Sindhi folk musical instrument “surbahar” is associated with the mystic poetry of whom?,Shah Abdul Latif Bhittai,Lal Shahbaz Qalandar,Sachal Sarmast,Bedil Sindhi,A,https://cssmcqs.com/200-important-sindhi-mcqs-gk-questions/
History,Which period in Sindh is referred to as the literary golden age?,British Period,Talpur Period,Kalhora Period,Samma Period,C,https://www.scribd.com/document/420074063/Sindh-GK-Capsule
Culture,Who is called “Latif Sani” in Sindhi literature?,Bedil Sindhi,Shah Abdul Latif Bhittai,Sachal Sarmast,Sheikh Ayaz,D,https://www.scribd.com/document/420074063/Sindh-GK-Capsule
Geography,Sukkur Barrage is also known by which other name?,Lloyd Barrage,Kotri Barrage,Guddu Barrage,Taunsa Barrage,A,https://www.scribd.com/document/420074063/Sindh-GK-Capsule
Geography,On which river is Sukkur Barrage constructed?,Indus River,Chenab River,Ravi River,Sutlej River,A,https://www.scribd.com/document/420074063/Sindh-GK-Capsule
History,In which year was Sukkur Barrage built?,1922,1932,1925,1940,B,https://www.scribd.com/document/420074063/Sindh-GK-Capsule
Geography,How many canals originate from Sukkur Barrage?,8,5,6,7,D,https://www.scribd.com/document/420074063/Sindh-GK-Capsule
