Domain,Monolingual Sindhi,A,B,C,D,answer,Source
Geography,سنڌ ۾ سڀ کان وڏو درياهُ ڪهڙو آهي؟,Lyari River, Indus River,Malir River,Hub River,B,Asaan sindhi 9th and 10th sindh board
History,سنڌ جو نالو ڪهڙي درياهُ کان ورتو ويو آهي؟,Malir River,Lyari River,Sindhu River,Hub River,C,Asaan sindhi 9th and 10th sindh board
Culture,روايتي سنڌي اجرڪ ٺاهڻ جا ڪيترا مرحلا آهن؟,12,10,14,15,C,Asaan sindhi 9th and 10th sindh board
History,عربن سنڌي اجرڪ کي ڪهڙو نالو ڏنو؟,Khaddar ,Azraq,Muslin,Chiffon,B,Asaan sindhi 9th and 10th sindh board
Culture,"سنڌي اجرڪ جي حوالي سان لفظ ""ازرق"" جو ڇا مطلب آهي؟",White color,Red color,Green color,Blue color,D,Asaan sindhi 9th and 10th sindh board
Culture,سسئي ۽ پنهون ڇاجو قصو آهي؟,Two enemies,Two lovers,Two friends ,Two family members,B,Asaan sindhi 9th and 10th sindh board
Culture,راٹو ۽ مومل  ڇاجو قصو آهي؟, Two Rajput lovers,Two Rajput enemies,Two Rajput friends ,Two Rajput kings,A,Asaan sindhi 9th and 10th sindh board
History,مخدوم عبدالله نريواري ڪٿي ڄائو هو؟,Sehwan,Kutch,Hala,Thatta,B,Asaan sindhi 9th and 10th sindh board
History,مخدوم عبدالله نريواري ڪهڙي قبيلي سان تعلق رکندو هو؟, Mandhro,Talpur,Samma,Kalhora,A,Asaan sindhi 9th and 10th sindh board
Culture,شاهه عبداللطيف ڀٽائي جي مشهور تصنيف ڪهڙي آهي؟,Shah Jo Risalo,Diwan-e-Ghalib,Kalila wa Dimna,None of these,A,Asaan sindhi 9th and 10th sindh board
History,سنڌ ۾ ڪهڙي قديم تهذيب ترقي ڪئي جيڪا موئن جو دڙو جهڙن شهرن لاءِ مشهور آهي؟,Greek ,Harappan,Egyptian,Mesopotamian,B,https://web.facebook.com/groups/229328939075956/posts/779288397413338/?_rdc=1&_rdr#
Culture,ڪهڙو سنڌي ميلو بهار جي اچڻ جي خوشي ۾ ملهايو ويندو آهي؟,Navratri ,Chaliho Sahib,Thadri,Cheti Chand,D,https://web.facebook.com/groups/229328939075956/posts/779288397413338/?_rdc=1&_rdr#
Culture,سنڌي اجرڪ صرف روايتي شال ناهي پر هڪ ڇا جي علامت پڻ آهي,Peace ,Brotherhood,Pride and Identity,Love,C,https://web.facebook.com/groups/229328939075956/posts/779288397413338/?_rdc=1&_rdr#
Culture,سنڌي ساڳ ڪهڙي شيءَ مان ٺهيل آهي؟,Mustard Greens,Kale, Spinach,Fenugreek,A,https://web.facebook.com/groups/229328939075956/posts/779288397413338/?_rdc=1&_rdr#
History,لال  شھباز قلندر ڪهڙي دور ۾ سنڌ آيو؟,Soomra dynasty,Gupta dynasty,Mamlook dynasty, Ghaznavi dynasty,D,https://web.facebook.com/groups/2426748277645913/posts/3940538849600174/?_rdc=1&_rdr#
