Domain,Sindhi Matrix with English Embeddings ,A,B,C,D,Answer,Source
Geography,سنڌ ۾ سڀ کان وڏو river ڪهڙو آهي؟,Lyari River, Indus River,Malir River,Hub River,B,Asaan sindhi 9th and 10th sindh board
History,سنڌ جو name ڪهڙي درياهُ  کان ورتو ويو آهي؟,Malir River,Lyari River,Sindhu River,Hub River,C,Asaan sindhi 9th and 10th sindh board
Culture,روايتي سنڌي اجرڪ ٺاهڻ جا ڪيترا steps آهن؟,12,10,14,15,C,Asaan sindhi 9th and 10th sindh board
History,عربن سنڌي اجرڪ کي ڪهڙو name ڏنو؟,Khaddar ,Azraq,Muslin,Chiffon,B,Asaan sindhi 9th and 10th sindh board
Culture,"سنڌي اجرڪ جي حوالي سان لفظ ""ازرق"" جي ڇا meaning آهي؟",White color,Red color,Green color,Blue color,D,Asaan sindhi 9th and 10th sindh board
Culture,سسئي ۽ پنهون ڇاجي tale آهي؟,Two enemies,Two lovers,Two friends ,Two family members,B,Asaan sindhi 9th and 10th sindh board
Culture,راٹو ۽ مومل ڇاجي tale آهي؟, Two Rajput lovers,Two Rajput enemies,Two Rajput friends ,Two Rajput kings,A,Asaan sindhi 9th and 10th sindh board
History,Makhdum Abdallah Nariyawaro ڪٿي ڄائو هو؟,Sehwan,Kutch,Hala,Thatta,B,Asaan sindhi 9th and 10th sindh board
History,Makhdum Abdallah Nariyawaro ڪهڙي tribe سان تعلق رکندو هو؟, Mandhro,Talpur,Samma,Kalhora,A,Asaan sindhi 9th and 10th sindh board
Culture,Shah Abdul Latif Bhittai جي مشهور composition ڪهڙي آهي؟,Shah Jo Risalo,Diwan-e-Ghalib,Kalila wa Dimna,None of these,A,Asaan sindhi 9th and 10th sindh board
History,سنڌ ۾ ڪهڙي ancient civilization ترقي ڪئي جيڪا موئن جو دڙو جهڙن شهرن لاءِ مشهور آهي؟,Greek ,Harappan,Egyptian,Mesopotamian,B,https://web.facebook.com/groups/229328939075956/posts/779288397413338/?_rdc=1&_rdr#
Culture,ڪهڙو Sindhi festival بهار جي اچڻ جي خوشي ۾  celebrate ڪيو ويندو آهي؟,Navratri ,Chaliho Sahib,Thadri,Cheti Chand,D,https://web.facebook.com/groups/229328939075956/posts/779288397413338/?_rdc=1&_rdr#
Culture,سنڌي اجرڪ صرف traditional shawl ناهي پر هڪ symbol  پڻ آهي,Peace ,Brotherhood,Pride and Identity,Love,C,https://web.facebook.com/groups/229328939075956/posts/779288397413338/?_rdc=1&_rdr#
Culture,سنڌي saag ڪهڙي شيءَ مان ٺهيل آهي؟,Mustard Greens,Kale, Spinach,Fenugreek,A,https://web.facebook.com/groups/229328939075956/posts/779288397413338/?_rdc=1&_rdr#
History,Lal Shahbaz Qalandar ڪهڙي dynasty ۾ سنڌ آيو؟,Soomra dynasty,Gupta dynasty,Mamlook dynasty, Ghaznavi dynasty,D,https://web.facebook.com/groups/2426748277645913/posts/3940538849600174/?_rdc=1&_rdr#
Geography,سنڌ جو ڪهڙو شهر پنهنجي pickles لاءِ famou آهي؟,Shikarpur,Larkana,Karachi,Mirpurkhas,A,https://cssmcqs.com/200-important-sindhi-mcqs-gk-questions/
Geography,سنڌ جو ڪهڙو شهر mangoes لاءِ مشهور آهي؟,Karachi,Larkana, Mirpurkhas,Shikarpur,C,https://cssmcqs.com/200-important-sindhi-mcqs-gk-questions/
